	kegg.names	labels	all.mapped	all.mapped.symb	type	x	y	width	height	Cd1	Cd2	Cd3	Cd1.col	Cd2.col	Cd3.col
120	K10575	K10575	K10575	UBE2G1	ortholog	760	709	46	17	-331	-275	214	#00FF00	#00FF00	#FF0000
123	K09490	K09490	K09490	HSPA5	ortholog	222	304	46	19	13472.3333333333	12618.3333333333	17685.3333333333	#FF0000	#FF0000	#FF0000
129	K09540	K12275	K09540,K12275	SEC63,NA	ortholog	58	218	46	17	414	453	712	#FF0000	#FF0000	#FF0000
130	K02159	K02159			ortholog	640	457	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
134	K09049	K09054			ortholog	423	478	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
135	K08852	K08852	K08852	ERN1	ortholog	548	478	46	17	86.6666666666667	-7.33333333333331	55.6666666666667	#FF0000	#00FF00	#FF0000
136	K16196	K16194	K16196	NA	ortholog	298	478	46	17	-108	-144	-137	#00FF00	#00FF00	#00FF00
137	K08653	K08653	K08653	MBTPS1	ortholog	451	535	46	17	-202	28	363	#00FF00	#FF0000	#FF0000
138	K07765	K07765			ortholog	451	556	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
148	K09027	K09027			ortholog	489	630	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
159	K14020	K14020			ortholog	395	556	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
163	K10839	K10839	K10839	NA	ortholog	1010	393	46	17	-121	-89	15	#00FF00	#00FF00	#FF0000
164	K04523	K04523	K04523	UBQLN	ortholog	1009	371	46	17	101.666666666667	82.6666666666666	132.666666666667	#FF0000	#FF0000	#FF0000
165	K01456	K01456	K01456	NA	ortholog	1010	410	46	17	-44.6666666666666	-66.6666666666666	-34.6666666666666	#00FF00	#00FF00	#00FF00
166	K04554	K10578	K04554,K10575,K10578	UBE2J2,UBE2G1,UBE2J1	ortholog	759	621	46	17	75.6666666666667	313.666666666667	1128.66666666667	#FF0000	#FF0000	#FF0000
167	K10597	K10597	K10597	UBE4B	ortholog	1062	371	46	17	172.333333333333	14.3333333333333	281.333333333333	#FF0000	#FF0000	#FF0000
168	K13719	K13719	K13719	NA	ortholog	1037	324	46	17	-15	-75	-28	#00FF00	#00FF00	#00FF00
169	K11863	K11863			ortholog	1062	393	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
170	K14018	K14018	K14018	NA	ortholog	1037	341	46	17	-39	-52	-45	#00FF00	#00FF00	#00FF00
171	K03283	K03283	K03283	HSPA1_8	ortholog	917	268	46	17	9710.33333333333	9583.33333333333	12470.3333333333	#FF0000	#FF0000	#FF0000
172	K14026	K14026	K14026	NA	ortholog	870	675	46	17	207	241	402	#FF0000	#FF0000	#FF0000
173	K10601	K10601	K10601	SYVN1	ortholog	905	692	46	17	-237.666666666667	-262.666666666667	-271.666666666667	#00FF00	#00FF00	#00FF00
174	K13989	K11519	K13989	NA	ortholog	866	315	46	17	582.666666666667	443.666666666667	618.666666666667	#FF0000	#FF0000	#FF0000
175	K10088	K10088	K10088	OS9	ortholog	776	347	46	17	-75.6666666666667	-91.6666666666667	-50.6666666666667	#00FF00	#00FF00	#00FF00
176	K14027	K14027			ortholog	859	692	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
177	K14008	K14008			ortholog	776	369	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
178	K04554	K10578	K04554,K10575,K10578	UBE2J2,UBE2G1,UBE2J1	ortholog	905	709	46	17	75.6666666666667	313.666666666667	1128.66666666667	#FF0000	#FF0000	#FF0000
179	K14025	K14025			ortholog	916	658	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
180	K03868	K03868	K03868	RBX1	ortholog	1061	675	46	17	106	67	303	#FF0000	#FF0000	#FF0000
181	K10099	K10099			ortholog	1015	709	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
182	K06689	K06689	K06689	UBE2D_E	ortholog	972	630	46	17	204.666666666667	436.666666666667	553.666666666667	#FF0000	#FF0000	#FF0000
183	K09503	K09502	K09503,K09518	DNAJA2,DNAJB12	ortholog	1018	604	46	17	4412.33333333333	4543.33333333333	6583.33333333333	#FF0000	#FF0000	#FF0000
184	K03283	K03283	K03283	HSPA1_8	ortholog	1018	621	46	17	9710.33333333333	9583.33333333333	12470.3333333333	#FF0000	#FF0000	#FF0000
185	K09561	K09561	K09561	STUB1	ortholog	1018	638	46	17	139.666666666667	124.666666666667	173.666666666667	#FF0000	#FF0000	#FF0000
187	K09580	K09580	K09580,K09584,K13984	PDIA1,PDIA6,NA	ortholog	723	369	46	17	3559.66666666667	2911.66666666667	4772.66666666667	#FF0000	#FF0000	#FF0000
188	K09517	K09517	K09517,K09523	DNAJB11,DNAJC3	ortholog	222	320	46	17	364.666666666667	386.666666666667	674.666666666667	#FF0000	#FF0000	#FF0000
189	K14011	K24348	K14011,K14012,K24348	NA,NA,NA	ortholog	866	378	46	17	732	876	1088	#FF0000	#FF0000	#FF0000
190	K14022	K14022			ortholog	805	621	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
191	K09503	K09502	K09503,K09518	DNAJA2,DNAJB12	ortholog	917	285	46	17	4412.33333333333	4543.33333333333	6583.33333333333	#FF0000	#FF0000	#FF0000
192	K04555	K04555			ortholog	871	621	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
195	K14014	K14014			ortholog	892	410	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
201	K06689	K06689	K06689	UBE2D_E	ortholog	1015	684	46	17	204.666666666667	436.666666666667	553.666666666667	#FF0000	#FF0000	#FF0000
202	K03094	K03094	K03094	SKP1	ortholog	1061	709	46	17	76	53	173	#FF0000	#FF0000	#FF0000
203	K03347	K03347	K03347	CUL1	ortholog	1061	692	46	17	1078	1305	1540	#FF0000	#FF0000	#FF0000
204	K13989	K11519	K13989	NA	ortholog	916	621	46	17	582.666666666667	443.666666666667	618.666666666667	#FF0000	#FF0000	#FF0000
205	K10666	K10666	K10666	RNF5	ortholog	916	604	46	17	24	171	328	#FF0000	#FF0000	#FF0000
206	K11519	K11519			ortholog	916	675	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
207	K04079	K04079	K04079	htpG	ortholog	970	268	46	17	7974.33333333333	8542.33333333333	10786.3333333333	#FF0000	#FF0000	#FF0000
208	K05638	K05638			ortholog	350	535	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
211	K14004	K14004	K14004,K14005	NA,NA	ortholog	794	143	46	17	-240	-30.0000000000002	39.9999999999998	#00FF00	#00FF00	#FF0000
212	K07953	K07953	K07953	SAR1	ortholog	748	160	46	17	-645.333333333333	-479.333333333333	118.666666666667	#00FF00	#00FF00	#FF0000
213	K14003	K14003	K14003	NA	ortholog	748	198	46	17	-247.666666666667	-266.666666666667	-121.666666666667	#00FF00	#00FF00	#00FF00
215	K09487	K09487	K09487	HSP90B	ortholog	277	303	46	17	6184	5673	7637	#FF0000	#FF0000	#FF0000
218	K02161	K02161			ortholog	363	757	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
221	K02161	K02161			ortholog	669	494	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
224	K10081	K10081			ortholog	665	219	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
225	K14010	K14010			ortholog	866	298	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
226	K09561	K09561	K09561	STUB1	ortholog	1074	604	46	17	139.666666666667	124.666666666667	173.666666666667	#FF0000	#FF0000	#FF0000
227	K04556	K04556			ortholog	1074	621	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
228	K09562	K09485	K09562	HSPBP1	ortholog	917	308	46	17	516.333333333333	522.333333333333	647.333333333333	#FF0000	#FF0000	#FF0000
229	K13993	K09541	K13993	NA	ortholog	970	308	46	17	4066.66666666667	4352.66666666667	5550.66666666667	#FF0000	#FF0000	#FF0000
233	K09486	K09486	K09486	HYOU1	ortholog	176	303	46	17	2615	2440	3126	#FF0000	#FF0000	#FF0000
234	K14024	K14024			ortholog	806	693	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
238	K01228	K01228	K01228	NA	ortholog	137	246	46	17	12.6666666666667	-9.33333333333331	144.666666666667	#FF0000	#00FF00	#FF0000
239	K13999	K13999			ortholog	183	246	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
240	K14000	K14000			ortholog	235	212	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
241	K14009	K14009			ortholog	767	400	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
242	K13249	K13249	K13249,K13250	NA,NA	ortholog	721	417	46	17	-318	-663	-12.9999999999998	#00FF00	#00FF00	#00FF00
245	K14013	K14013			ortholog	806	676	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
246	K10636	K10636	K10636	AMFR	ortholog	916	587	46	17	-59.6666666666666	-47.6666666666666	45.3333333333334	#00FF00	#00FF00	#FF0000
