kegg.names,annot
K20772  ,1-aminocyclopropane-1-carboxylate synthase 1/2/6 [EC:4.4.1.14]
K01762  ,1-aminocyclopropane-1-carboxylate synthase [EC:4.4.1.14]
K05933  ,aminocyclopropanecarboxylate oxidase [EC:1.14.17.4]
K01505  ,1-aminocyclopropane-1-carboxylate deaminase [EC:3.5.99.7]
K00928  ,aspartate kinase [EC:2.7.2.4]
K12524  ,bifunctional aspartokinase / homoserine dehydrogenase 1 [EC:2.7.2.4 1.1.1.3]
K12525  ,bifunctional aspartokinase / homoserine dehydrogenase 2 [EC:2.7.2.4 1.1.1.3]
K12526  ,bifunctional diaminopimelate decarboxylase / aspartate kinase [EC:4.1.1.20 2.7.2.4]
K00133  ,aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]
K00003  ,homoserine dehydrogenase [EC:1.1.1.3]
K23975  ,L-aspartate semialdehyde sulfurtransferase [EC:2.8.1.16]
K23976  ,L-aspartate semialdehyde sulfurtransferase ferredoxin
K00651  ,homoserine O-succinyltransferase/O-acetyltransferase [EC:2.3.1.46 2.3.1.31]
K00641  ,homoserine O-acetyltransferase/O-succinyltransferase [EC:2.3.1.31 2.3.1.46]
K01739  ,cystathionine gamma-synthase [EC:2.5.1.48]
K01740  ,O-acetylhomoserine (thiol)-lyase [EC:2.5.1.49]
K10764  ,O-succinylhomoserine sulfhydrylase [EC:2.5.1.-]
K00826  ,branched-chain amino acid aminotransferase [EC:2.6.1.42]
K00827  ,alanine-glyoxylate transaminase / (R)-3-amino-2-methylpropionate-pyruvate transaminase [EC:2.6.1.44 2.6.1.40]
K11204  ,glutamate--cysteine ligase catalytic subunit [EC:6.3.2.2]
K11205  ,glutamate--cysteine ligase regulatory subunit
K01919  ,glutamate--cysteine ligase [EC:6.3.2.2]
K01920  ,glutathione synthase [EC:6.3.2.3]
K21456  ,glutathione synthase [EC:6.3.2.3]
K00456  ,cysteine dioxygenase [EC:1.13.11.20]
K14454  ,"aspartate aminotransferase, cytoplasmic [EC:2.6.1.1]"
K14455  ,"aspartate aminotransferase, mitochondrial [EC:2.6.1.1]"
K00811  ,"aspartate aminotransferase, chloroplastic [EC:2.6.1.1]"
K00812  ,aspartate aminotransferase [EC:2.6.1.1]
K00813  ,aspartate aminotransferase [EC:2.6.1.1]
K11358  ,aspartate aminotransferase [EC:2.6.1.1]
K01011  ,thiosulfate/3-mercaptopyruvate sulfurtransferase [EC:2.8.1.1 2.8.1.2]
K00016  ,L-lactate dehydrogenase [EC:1.1.1.27]
K09758  ,aspartate 4-decarboxylase [EC:4.1.1.12]
K25316  ,amino-acid racemase [EC:5.1.1.10]
K25317  ,amino-acid racemase [EC:5.1.1.10]
K05396  ,D-cysteine desulfhydrase [EC:4.4.1.15]
K22207  ,L-cysteine desulfhydrase [EC:4.4.1.28]
K20021  ,L-cysteine desulfidase [EC:4.4.1.28]
K16843  ,(S)-sulfolactate dehydrogenase [EC:1.1.1.310]
K00024  ,malate dehydrogenase [EC:1.1.1.37]
K00025  ,malate dehydrogenase [EC:1.1.1.37]
K00026  ,malate dehydrogenase [EC:1.1.1.37]
K16844  ,(2R)-3-sulfolactate dehydrogenase (NADP+) [EC:1.1.1.338]
K16845  ,(2R)-sulfolactate sulfo-lyase subunit alpha [EC:4.4.1.24]
K16846  ,(2R)-sulfolactate sulfo-lyase subunit beta [EC:4.4.1.24]
K17950  ,L-cysteate sulfo-lyase [EC:4.4.1.25]
K01752  ,L-serine dehydratase [EC:4.3.1.17]
K17989  ,L-serine/L-threonine ammonia-lyase [EC:4.3.1.17 4.3.1.19]
K12339  ,S-sulfo-L-cysteine synthase (O-acetyl-L-serine-dependent) [EC:2.5.1.144]
K22846  ,S-sulfo-L-cysteine synthase (O-acetyl-L-serine-dependent) [EC:2.5.1.144]
K00058  ,D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]
K00831  ,phosphoserine aminotransferase [EC:2.6.1.52]
K23370  ,L-serine kinase (ADP) [EC:2.7.1.226]
K22847  ,S-sulfo-L-cysteine synthase (3-phospho-L-serine-dependent) [EC:2.8.5.1]
